richness_herb,veg_type,COV_TREES,COV_SHRUBS,cov_evergreen,SOIL_DEPTH,PH,hli_data,mean_annual_temp,annual_prec,prec_warm,tri
28,mixed deciduous,65,15,16.58287451,5,6.06,0.8825077300602673,14.050000000000011,2309.9,235.4,23.530771255493164
27,mixed deciduous,70,25,46.52059287214844,7,6.24,0.9882339239370348,14.950000000000044,2270.6,231.7,23.42780113220215
29,mixed deciduous,80,2,23.17406,10,5.93,0.8425224999957626,15.150000000000034,2307,226.5,19.859783172607425
44,pine,50,40,1.0965025,7,6.79,0.8783548417224567,11.150000000000034,2333.7000000000003,245.7,15.185843467712402
27,beech,70,10,0.1,8,7,0.6531123778247447,8.850000000000023,2660.7000000000003,290.90000000000003,20.43423843383789
39,mixed deciduous,70,40,0,2,6.36,0.9727124790056392,9.650000000000034,2605.7000000000003,284.90000000000003,19.53783416748047
27,evergreen oak,75,20,68.90765637607863,6,6.32,0.556246789,15.450000000000044,2809.7000000000003,290.1,25.543134689331055
31,mixed deciduous,60,10,22.989653735893754,5,6.64,0.970473528,13.850000000000025,2667.7000000000003,270,28.24534797668457
19,mixed deciduous,70,20,75.46220419347797,4,6.6,0.9672764008081254,15.850000000000025,2258.4,217,36.599945068359375
43,mixed deciduous,65,15,3.485,26,5.9,0.938224063810308,14.350000000000025,1792.1,167.10000000000002,3.697997093200683
44,mixed deciduous,35,10,0.1,15,6.31,0.5517619278566425,12.850000000000025,1933.7,185.6,41.16032028198242
55,mixed deciduous,50,30,0,8,6.29,0.992573701,12.850000000000025,2207.5,216.5,20.85967063903809
27,mixed deciduous,70,15,31.95673845488628,13,5.2,0.942302101,15.450000000000044,2175.7000000000003,210,14.268047332763672
25,mixed deciduous,70,30,11.343261249999998,15,6.33,0.881251109,14.050000000000011,2437.3,239.7,14.856409072875977
34,mixed deciduous,30,35,0,1,5.79,0.8618364540728585,8.150000000000034,2304.9,274.2,2.9355931282043457
64,mixed deciduous,50,5,0,12,5.83,0.7521333898091775,8.750000000000057,2279.8,265.6,11.884376525878906
70,mixed deciduous,40,25,0,7,7.28,0.764484438,9.850000000000025,2206.9,253.4,20.240039825439453
13,mixed deciduous,80,5,25.55335936,8,6.88,0.970360686493776,12.750000000000057,2659.5,237.1,33.522125244140625
20,beech,75,5,0,9,5.99,0.7555378845259623,9.150000000000034,2811.2000000000003,272.90000000000003,11.214811325073242
48,mixed deciduous,35,15,12.353798577975,5,6.03,0.9202052713702992,14.350000000000025,2573.7000000000003,232.3,17.090185165405273
23,beech,85,10,0,26,4.9,0.8851962444132634,5.4500000000000455,2311.7000000000003,287.6,23.09683609008789
12,beech,90,13,0,27,6.36,0.9796447062503212,8.350000000000023,2430.2000000000003,262.6,31.597890853881836
27,beech,65,1,0,27,6.45,0.7004217320918945,8.350000000000023,2430.2000000000003,262.6,24.45266914367676
52,riparian,85,10,0,30,8.21,0.9541326313994108,7.850000000000023,2375.2000000000003,272.2,11.463141441345217
16,mixed deciduous,50,5,0,16,5.55,0.47093754633263873,8.850000000000023,1862.1,245.2,21.607450485229492
13,fir and spruce,80,7,0,27,5.66,0.7841750170664141,5.650000000000034,1595.1,296.7,18.96276855
42,fir and spruce,75,2,0,23,5.06,0.7969776035586636,4.250000000000057,1452.5,294.1,20.59910774230957
44,pine,60,6,3.097,26,7.11,0.9190334741538654,5.750000000000057,1269.4,254.7,19.05091667175293
93,riparian,60,15,0,30,8.24,0.946864846392944,6.750000000000057,1388.5,273.5,17.19522476196289
51,mixed deciduous,85,4,0,10,7.07,0.9695171589925572,7.550000000000011,2026.5,265.3,21.977386474609375
15,beech,90,0,0,15,6.21,0.795627351,7.550000000000011,2026.5,265.3,23.128259658813477
37,mixed deciduous,90,5,0,25,5.89,0.6569512228433587,8.450000000000045,1899.2,236.1,17.153095245361328
29,fir and spruce,70,0,0,27,5.25,0.9102105161274154,6.050000000000011,1418.7,252,4.242084026
58,beech,85,15,0.5,13,8.4,1.007188736819835,7.950000000000045,2098.9,289.40000000000003,27.37972068786621
93,mixed deciduous,80,3,0.5,12,7.75,0.9482979671479927,8.350000000000023,1892.2,247.2,62.584571838378906
27,beech,80,20,0,18,6.68,1.018323453349654,5.4500000000000455,2324.6,327.5,31.314542770385746
31,pine,50,70,0.9975,26,6.26,1.000987393920742,8.150000000000034,1074.3,222.4,14.752297401428224
37,mixed deciduous,80,30,10.45,26,7.06,0.6220493018509212,10.350000000000025,960,210.6,16.537397384643555
48,mixed deciduous,70,15,3,16,6.87,0.6683169198215564,10.150000000000034,980,214.1,20.406633377075195
42,mixed deciduous,90,10,0.5,23,7.76,0.8871896119106186,9.750000000000057,896.4000000000001,201.6,26.29999542236328
52,mixed deciduous,60,30,0,12,6.4,0.7552597969745299,10.350000000000025,2099.5,234,4.801048278808594
60,mixed deciduous,40,40,0.5,11,6.76,0.9758150335130704,8.650000000000034,2214.6,254.9,11.882960319519045
72,mixed deciduous,50,15,0,8,7.37,0.8478465000018258,9.150000000000034,2182.8,256.40000000000003,10.067440032958984
40,beech,90,1,0,25,6.5,0.984325982,8.450000000000045,1198.4,214.8,30.08152961730957
64,mixed deciduous,40,30,0.5,8,6.85,0.650969753,7.050000000000011,1337.7,224.5,88.09683990478516
51,fir and spruce,80,1,0,27,5.75,0.6625892775352679,7.150000000000034,1325.8000000000002,231.3,23.909175872802734
83,fir and spruce,60,2,0.5,27,7.16,0.9115565675333288,7.150000000000034,1369.2,246.3,17.54955482
11,beech,90,3,0,24,5.98,0.7174080389177704,8.350000000000023,2002.2,282.7,37.32951736450195
14,beech,90,1,0.1,21,5.91,0.9895402292506912,8.450000000000045,2044,305.40000000000003,30.67944336
32,beech,80,3,0.5,17,6.87,0.9693098602062508,6.9500000000000455,2258.2000000000003,344.8,47.91118621826172
52,mixed deciduous,60,30,3,8,7.46,1.0052830077178991,6.9500000000000455,2258.2000000000003,344.8,26.837474822998047
33,fir and spruce,65,0,0,23,5.21,0.9677705892642728,5.050000000000011,2340.8,287.7,35.608036041259766
9,beech,92,1,0,26,5.68,0.878003793,8.150000000000034,2464.4,256.2,25.86091423034668
59,riparian,50,30,0,27,6.97,0.9436760692125756,8.150000000000034,2426.6,266.8,16.980756759643555
46,mixed deciduous,60,1,0,18,6.59,0.7762867738495006,9.550000000000011,1675.2,226.7,30.89748191833496
59,mixed deciduous,75,6,0.5,28,5.53,0.9667824832316352,6.750000000000057,1486.9,269.1,38.98149490356445
34,fir and spruce,55,9,0.5,14,7.52,0.9558340186061812,7.550000000000011,1235.7,241.3,16.262218475341797
48,mixed deciduous,85,20,1.4925125,8,8.02,0.6298672986453042,7.950000000000045,1113.1,229.2,35.99563980102539
21,beech,85,0,0,23,5.3,0.5871405183144702,8.950000000000045,998.4,210.9,26.510435104370117
20,beech,90,1,0,18,4.96,1.0067656900008917,6.350000000000023,2062.6,274.3,28.40965461730957
27,beech,65,1,0,22,6.31,0.9958759744767932,6.4500000000000455,2226.5,291.90000000000003,22.414594650268555
53,riparian,90,8,0,30,8.34,0.9312411419534784,8.950000000000045,1928,239.7,6.675221920013428
31,fir and spruce,65,2,0,17,5.6,0.928317193571634,5.750000000000057,1555.2,269.40000000000003,5.707721233
75,mixed deciduous,85,5,0.5,6,7.51,0.58900739,7.950000000000045,2098.9,289.40000000000003,27.33042907714844
84,mixed deciduous,55,10,0.5,8,7.58,0.5482338411437169,8.350000000000023,1892.2,247.2,45.29279327392578
23,beech,85,0,0,16,7.28,0.9005719266112169,6.650000000000034,2218.7000000000003,305.8,40.01823425292969
50,pine,45,12,10,28,6.46,0.9639130996170984,7.650000000000034,1181.2,239.6,11.19987678527832
65,mixed deciduous,65,1,0.1,21,6.5,0.8527829686778411,10.150000000000034,946.5,208.5,28.05164337158203
42,mixed deciduous,90,4,0,19,5.89,0.7854294474297503,9.850000000000025,867.7,200.7,6.059832572937012
96,mixed deciduous,40,1,0,12,7.88,0.9861061987077058,10.550000000000011,2086.2000000000003,231,17.373306274414063
89,mixed deciduous,55,45,0,24,6.64,1.015511897876316,9.550000000000011,2321.3,262.7,14.42982292175293
57,mixed deciduous,85,2,0,13,7.14,0.9891970459314382,6.9500000000000455,2730.1000000000004,321.6,13.848265647888184
53,mixed deciduous,50,13,3.485,16,5.81,1.0042380819291843,9.050000000000011,1179.4,209.3,21.784448623657227
43,mixed deciduous,80,20,0,8,5.69,0.782752642,7.050000000000011,1337.7,224.5,21.83673667907715
68,pine,35,1,0,5,7.96,0.911536349,7.150000000000034,1325.8000000000002,231.3,25.967769622802734
36,fir and spruce,65,1,0,30,5.26,0.5136776335419101,7.150000000000034,1369.2,246.3,16.60091209411621
19,beech,70,3,0,15,5.9,0.42284192146177746,4.9500000000000455,2642.8,336,41.842063903808594
35,riparian,60,25,0,14,4.69,0.9316191385106548,5.650000000000034,2648.3,333.8,19.14469337463379
34,fir and spruce,60,8,0,9,7.42,0.3972990646912793,6.250000000000057,2183.1,297,28.50568199157715
46,mixed deciduous,40,45,13.5708175,8,7.21,1.0057335223607622,9.750000000000057,1588,234.6,17.520761489868164
56,mixed deciduous,40,50,0,27,6.62,0.8751379863057582,9.850000000000025,1176.9,189.2,39.297218322753906
30,mixed deciduous,70,15,20.798,7,8.16,0.49048190514812734,10.250000000000057,1040.1,171.10000000000002,18.0710392
